track_id,track_name,artist_name,album_name,release_date,genre,duration_ms,popularity,danceability,energy,key,loudness,mode,instrumentalness,tempo,stream_count,country,explicit,label,release_year,release_month,release_day_of_week,duration_minutes,popularity_category,loudness_category,key_name,mode_name,is_explicit_bool,release_quarter,is_weekend_release,log_stream_count,upbeat_score,artist_track_count,chart_position
d8b009c8-36f5-4571-af40-0144e906114b,Paradise,Knot Hart,Shattered,2020-08-02,R&B,203833,35,0.6315,0.4807,10,-8.78,1,0.0056,118.45,9001,US,True,Prism Audio,2020,8,Sunday,3.4,Medium,Moderate,A#,Major,True,Q3,True,9.1052,0.5284,12111,11
46c9e45d-886d-4722-8445-2450bbe54a5d,Edges,Zara Marsh,Paradise,2021-09-07,Latin,204239,38,0.8618,0.5355,5,-12.2,1,0.0149,116.96,82609,ES,False,Capitol Records,2021,9,Tuesday,3.4,Medium,Quiet,F,Major,False,Q3,False,11.3219,0.6403,13,12
d48ee718-59a3-4b26-baf6-85fab39be3fd,Circles,The Brookss,Broken IV,2020-12-13,Hip-Hop,142495,17,0.7872,0.6718,4,-7.44,1,0.0246,140.14,1808,KR,False,Neon Label,2020,12,Sunday,2.37,Low,Moderate,E,Major,False,Q4,True,7.5005,0.6981,71,13
e012e25a-0253-480f-8785-514029a5fd26,Burning Angels,Knot Hart,Sessions,2020-03-15,R&B,254456,26,0.5583,0.7355,5,-4.68,1,0.0654,140.91,9854,TH,False,Wavelength Records,2020,3,Sunday,4.24,Medium,Loud,F,Major,False,Q1,True,9.1957,0.6331,12111,14
7e9be073-392f-4592-bea4-8b670368087c,The Roads,Knot Hart,Oceans,2025-11-26,R&B,253544,5,0.4676,0.4455,0,-9.85,0,0.0098,113.55,885,TR,False,Catalyst Records,2025,11,Wednesday,4.23,Low,Moderate,C,Minor,False,Q4,False,6.7867,0.4417,12111,15
bec12f0c-2b0e-4a24-9814-c9bf3a3eb144,Velvet Memories,Knot Hart,Open II,2020-06-27,R&B,246306,8,0.689,0.5339,6,-10.07,1,0.0122,115.85,1696,IT,False,Island Records,2020,6,Saturday,4.11,Low,Moderate,F#,Major,False,Q2,True,7.4366,0.5689,12111,16
fcf4858b-bc7c-4bb3-b63d-03d8360833d9,Gentle,IsleEyre,Diaries,2024-12-09,Pop,198206,52,0.6703,0.6423,7,-7.92,0,0.0582,123.01,192715,CL,False,Self-Released,2024,12,Monday,3.3,High,Moderate,G,Minor,False,Q4,False,12.169,0.6151,5271,17
6a12365c-81bd-424b-884b-2bbcc5ff620a,Liquid Streets,ElaraRain,Invisible Waves,2025-05-22,Pop,199052,25,0.5858,0.6315,5,-6.03,1,0.0078,113.88,12297,US,False,Bedroom Records,2025,5,Thursday,3.32,Medium,Moderate,F,Major,False,Q2,False,9.4172,0.5639,1111,18
cee75c87-13b6-4af0-a17d-830be6008414,Broken Ghosts,Sterling Zen,Blinding Shadows,2025-01-21,Hip-Hop,171193,40,0.8733,0.709,5,-4.89,0,0.0148,138.1,128133,DE,False,Island Records,2025,1,Tuesday,2.85,Medium,Loud,F,Minor,False,Q1,False,11.7608,0.7445,2268,19
73b9acd9-0de2-4e74-9dde-5e554eccfbe1,Dancing Fire,IsleEyre,Endless Worlds,2021-08-21,K-Pop,131362,29,0.9008,0.6608,2,-8.95,1,0.1015,123.93,37303,NG,False,Neon Label,2021,8,Saturday,2.19,Medium,Moderate,D,Major,False,Q3,True,10.5269,0.716,5271,20
dda9dbb9-2603-4c97-9f2f-3f2b3875b992,Dancing Roses,Crest Jay,Fragments,2024-09-29,Latin,248487,30,0.9596,0.7839,1,-6.38,0,0.0927,83.19,99514,GB,True,Drift Music,2024,9,Sunday,4.14,Medium,Moderate,C#,Minor,True,Q3,True,11.5081,0.7305,635,21
fb723ba4-96d0-4864-ad7d-6aa1f98c77c4,Heavy Love,Knot Hart,Night,2020-03-08,R&B,224486,27,0.7254,0.5494,10,-8.98,1,0.0168,140.53,26811,GB,True,Midnight Records,2020,3,Sunday,3.74,Medium,Moderate,A#,Major,True,Q1,True,10.1966,0.625,12111,22
5cb79362-5ed6-4324-b790-972c49ec87f5,Broken,IsleEyre,Nights,2024-01-17,Pop,205103,19,0.6677,0.738,1,-7.85,0,0.0208,110.15,19134,CA,False,Cipher Music,2024,1,Wednesday,3.42,Low,Moderate,C#,Minor,False,Q1,False,9.8593,0.6339,5271,23
125f2a80-8966-479d-89e5-c89b8bd79bb8,Rain,Ethereal,The Cosmic Dimensions,2020-03-07,Pop,192085,11,0.6075,0.5684,5,-8.88,0,0.0492,107.24,2529,MX,False,Bedroom Records,2020,3,Saturday,3.2,Low,Moderate,F,Minor,False,Q1,True,7.836,0.5378,3232,24
cfc19120-16c7-4e8c-a99e-e617973c451a,The Tears,Sterling Zen,Sacred Rain,2025-03-18,Folk,233446,33,0.3071,0.3266,11,-11.81,1,0.0523,108.29,45489,US,True,Nova Records,2025,3,Tuesday,3.89,Medium,Moderate,B,Major,True,Q1,False,10.7252,0.3225,2268,25
